sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:07

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	   2295(0)	    93(0)	   483(0)	   3479(0)	     0(0)	    21(0)	     0(0)	
 +la0:edb_la_top_951c341776e3486595418e84d562b23b(DATA_DEPTH=2048,INPUT_PIPE_STAGES=1,UUID=128'b010100101101100101111010101000010010000011010001001000111100011010110010001001000000011011111000101101111011111111110011110000,PROBE0_TYPE=1)	  510(314)	     1(0)	  159(41)	  882(364)	     0(0)	     1(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32_951c341776e3486595418e84d562b23b	    32(32)	     0(0)	     0(0)	    38(38)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      8(8)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit_951c341776e3486595418e84d562b23b(WIDTH=32'b01,PIPE=1)	      1(1)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
  +trigger_skipper_n:trigger_skipper_951c341776e3486595418e84d562b23b	    65(65)	     0(0)	   63(63)	  222(222)	     0(0)	     0(0)	     0(0)	
  +la_biu_inst:la_biu_951c341776e3486595418e84d562b23b(CAPTURE_WIDTH=32'b01,DATA_DEPTH=2048)	    90(33)	     1(0)	    55(0)	  249(147)	     0(0)	     1(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read_951c341776e3486595418e84d562b23b(DATA_WIDTH=32'b010,ADDR_WIDTH=11,PIPE=0)	    57(57)	     1(1)	   55(55)	   102(70)	     0(0)	     1(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit_951c341776e3486595418e84d562b23b(TOTAL_ADDR_WIDTH=11,CELL_ADDR_WIDTH=12,PIPE=0)	      0(0)	     0(0)	     0(0)	    31(31)	     0(0)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram_951c341776e3486595418e84d562b23b(DATA_WIDTH=32'b010,ADDR_WIDTH=11,RAM_INIT_FILE="")	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     1(1)	     0(0)	
 +la1:edb_la_top_951c341776e3486595418e84d562b23b(NUM_PROBES=7,DATA_DEPTH=2048,INPUT_PIPE_STAGES=1,UUID=128'b11111100100111011010001011011011010000001000110101000011111110101001110010011001111110100100100011101100000011000110001101001100,PROBE5_WIDTH=40,PROBE0_TYPE=1,PROBE1_TYPE=1,PROBE2_TYPE=1,PROBE3_TYPE=1,PROBE4_TYPE=1,PROBE5_TYPE=1,PROBE6_TYPE=1)	  816(457)	    46(0)	  162(41)	 1214(413)	     0(0)	    10(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32_951c341776e3486595418e84d562b23b	    32(32)	     0(0)	     0(0)	    39(39)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit_951c341776e3486595418e84d562b23b(WIDTH=11'b01,PIPE=1)	      7(7)	     0(0)	     0(0)	      8(8)	     0(0)	     0(0)	     0(0)	
