sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 22, 2026 23:51:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
top:top                                                     	  14846(190)	     0(0)	  3333(74)	  19267(151)	     0(0)	   302(0)	     0(0)	
 +u_led_runner:led_runner                                   	      58(58)	     0(0)	    31(31)	      76(76)	     0(0)	     0(0)	     0(0)	
 +u_uart1:simple_uart(CLK_FREQ=5000000)                     	      62(62)	     0(0)	      0(0)	      79(79)	     0(0)	     0(0)	     0(0)	
 +u_uart2:simple_uart(CLK_FREQ=5000000)                     	      62(62)	     0(0)	      0(0)	      79(79)	     0(0)	     0(0)	     0(0)	
 +soft_mipi_rx_top_inst:soft_mipi_rx_top                    	    1438(13)	     0(0)	   244(12)	     2727(2)	     0(0)	    38(0)	     0(0)	
  +inst_rx_byteclk_rst:reset(OUT_RST_ACTIVE="LOW",CYCLE=3)  	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_efx_csi2_rx:csi_rx_controller                       	     1250(0)	     0(0)	    215(0)	     2435(0)	     0(0)	    36(0)	     0(0)	
   +u_efx_csi2_rx:efx_csi2_rx_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70,PIXEL_FIFO_DEPTH=4096,ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	     1250(0)	     0(0)	    215(0)	     2435(0)	     0(0)	    36(0)	     0(0)	
    +dphy_rx_inst:efx_dphy_rx_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70,ENABLE_USER_DESKEWCAL=1'b0)	      456(0)	     0(0)	     48(0)	      808(4)	     0(0)	     0(0)	     0(0)	
     +genblk3[0].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70)	      33(33)	     0(0)	    12(12)	    104(104)	     0(0)	     0(0)	     0(0)	
     +genblk3[0].rx_dword_align_inst:dphy_rx_dword_align_3eea493c411e46ef9fe73ece6fe11651	      81(81)	     0(0)	      0(0)	      96(96)	     0(0)	     0(0)	     0(0)	
     +genblk3[1].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70)	      33(33)	     0(0)	    12(12)	      99(99)	     0(0)	     0(0)	     0(0)	
     +genblk3[1].rx_dword_align_inst:dphy_rx_dword_align_3eea493c411e46ef9fe73ece6fe11651	      81(81)	     0(0)	      0(0)	    103(103)	     0(0)	     0(0)	     0(0)	
     +genblk3[2].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70)	      33(33)	     0(0)	    12(12)	      98(98)	     0(0)	     0(0)	     0(0)	
     +genblk3[2].rx_dword_align_inst:dphy_rx_dword_align_3eea493c411e46ef9fe73ece6fe11651	      81(81)	     0(0)	      0(0)	    104(104)	     0(0)	     0(0)	     0(0)	
     +genblk3[3].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70)	      33(33)	     0(0)	    12(12)	      98(98)	     0(0)	     0(0)	     0(0)	
     +genblk3[3].rx_dword_align_inst:dphy_rx_dword_align_3eea493c411e46ef9fe73ece6fe11651	      81(81)	     0(0)	      0(0)	    102(102)	     0(0)	     0(0)	     0(0)	
    +csi2_rx_top_inst:efx_csi2_rx_top_3eea493c411e46ef9fe73ece6fe11651(HS_DATA_WIDTH=8,tINIT_NS=100000,PACK_TYPE=15,ENABLE_VCX=1'b0,PIXEL_FIFO_DEPTH=4096)	     794(27)	     0(0)	   167(17)	    1627(12)	     0(0)	    36(0)	     0(0)	
     +syncreg_1:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_2:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
